shipment_id,supplier_name,sku_id,expected_date,received_date,quantity_expected,quantity_received,status
SHP-5000,Tata Supply Co.,SKU-1142,2026-04-30,2026-05-02,134,109,Received
SHP-5001,Tata Supply Co.,SKU-1075,2026-04-29,2026-04-29,498,498,Received
SHP-5002,Infosys Materials,SKU-1008,2026-04-29,2026-05-02,145,145,Received
SHP-5003,Bajaj Distributors,SKU-1271,2026-04-29,2026-04-29,230,230,Received
SHP-5004,Godrej Warehouse Supplies,SKU-1220,2026-05-07,2026-05-10,127,127,Received
SHP-5005,HCL Packaging,SKU-1170,2026-05-12,2026-05-12,275,275,Received
SHP-5006,Reliance Logistics,SKU-1195,2026-04-30,2026-05-03,149,149,Received
SHP-5007,Mahindra Parts Ltd.,SKU-1141,2026-04-27,2026-04-30,361,361,Received
SHP-5008,Tata Supply Co.,SKU-1025,2026-04-23,,177,0,Delayed
SHP-5009,Infosys Materials,SKU-1058,2026-05-12,2026-05-12,68,62,Received
SHP-5010,HCL Packaging,SKU-1051,2026-05-05,,165,0,Delayed
SHP-5011,Hero Supply Corp.,SKU-1207,2026-05-01,2026-05-03,251,251,Received
SHP-5012,Wipro Components,SKU-1105,2026-05-08,2026-05-10,452,452,Received
SHP-5013,Hero Supply Corp.,SKU-1147,2026-05-13,2026-05-16,98,98,Received
SHP-5014,Hero Supply Corp.,SKU-1156,2026-05-06,2026-05-06,137,137,Received
SHP-5015,Mahindra Parts Ltd.,SKU-1095,2026-05-03,2026-05-03,283,283,Received
SHP-5016,Bajaj Distributors,SKU-1242,2026-04-30,2026-05-02,221,221,Received
SHP-5017,Tata Supply Co.,SKU-1087,2026-05-13,2026-05-16,354,354,Received
SHP-5018,L&T Raw Materials,SKU-1000,2026-04-28,2026-04-28,497,497,Received
SHP-5019,Reliance Logistics,SKU-1008,2026-04-25,,398,0,Delayed
SHP-5020,Infosys Materials,SKU-1268,2026-04-27,,135,0,In Transit
SHP-5021,Tata Supply Co.,SKU-1051,2026-05-04,,461,0,In Transit
SHP-5022,Wipro Components,SKU-1251,2026-05-02,2026-05-05,329,329,Received
SHP-5023,Bharti Supply Chain,SKU-1186,2026-04-29,,56,0,In Transit
SHP-5024,Bharti Supply Chain,SKU-1170,2026-04-27,2026-04-29,446,380,Received
SHP-5025,Tata Supply Co.,SKU-1138,2026-04-27,2026-04-27,422,365,Received
SHP-5026,Infosys Materials,SKU-1072,2026-05-02,2026-05-05,304,304,Received
SHP-5027,Godrej Warehouse Supplies,SKU-1105,2026-05-11,,149,0,Delayed
SHP-5028,Adani Industrial,SKU-1055,2026-05-05,2026-05-07,499,437,Received
SHP-5029,HCL Packaging,SKU-1089,2026-05-05,2026-05-07,397,397,Received
SHP-5030,Adani Industrial,SKU-1213,2026-05-05,2026-05-07,208,208,Received
SHP-5031,L&T Raw Materials,SKU-1062,2026-04-30,2026-05-02,457,457,Received
SHP-5032,Bharti Supply Chain,SKU-1056,2026-05-13,,305,0,Delayed
SHP-5033,Mahindra Parts Ltd.,SKU-1238,2026-05-09,,317,0,Delayed
