sku_id,product_name,category,warehouse_zone,current_stock,reorder_level,max_stock,unit_price,purchase_price,last_movement_date,avg_daily_sales,supplier_name,is_perishable,shelf_life_days,expiry_date,storage_cost_per_day,dead_stock_reason,competitor_price,return_policy,handling_cost_per_unit
SKU-1000,Seal-Pro-125,Auto Parts,Z-D,94,95,557,4466.29,1941.83,2026-04-16,2.1,Tata Supply Co.,False,,,1.05,,,Partial Return,3.09
SKU-1001,Transformer-Max-833,Packaging Materials,Z-D,249,242,1019,3806.1,1765.51,2026-04-16,17.3,Mahindra Parts Ltd.,False,,,1.04,,,Non-Returnable,0.69
SKU-1002,Motor-Pro-467,Industrial Tools,Z-E,530,274,1752,4866.92,2683.69,2026-04-08,15.0,Bajaj Distributors,False,,,8.09,,,Non-Returnable,2.97
SKU-1003,Clamp-Pro-146,Pharmaceuticals,Z-E,171,73,263,1425.97,932.97,2026-04-20,8.6,Godrej Warehouse Supplies,True,137.0,2026-06-30,9.68,,,Partial Return,0.54
SKU-1004,Seal-Max-646,Pharmaceuticals,Z-C,787,216,1046,1137.1,602.34,2026-05-10,11.8,Reliance Logistics,True,191.0,2026-11-04,12.32,,,Partial Return,4.41
SKU-1005,Gasket-Max-771,Chemicals,Z-G,820,548,1911,741.17,517.33,2026-04-09,13.5,L&T Raw Materials,True,249.0,2026-10-07,5.45,,,Returnable,2.65
SKU-1006,Module-Pro-981,Apparel,Z-C,851,240,1385,364.46,201.42,2026-04-14,26.7,HCL Packaging,False,,,14.03,,,Returnable,3.47
SKU-1007,Sensor-Ultra-649,Auto Parts,Z-F,278,63,328,4771.39,3580.17,2026-04-27,48.6,Mahindra Parts Ltd.,False,,,2.52,,4175.25,Partial Return,2.64
SKU-1008,Valve-Max-482,FMCG,Z-A,185,263,1326,4399.67,3223.49,2026-04-24,12.4,Infosys Materials,True,320.0,2027-02-14,4.2,,,Returnable,4.89
SKU-1009,Transformer-Max-231,Chemicals,Z-C,256,147,642,4648.12,3263.47,2026-03-30,10.5,Bharti Supply Chain,True,234.0,2026-07-20,13.79,,,Partial Return,2.37
SKU-1010,Cable-Max-165,Industrial Tools,Z-A,311,303,1304,401.42,261.9,2026-04-29,3.8,Reliance Logistics,False,,,4.58,,,Returnable,2.67
SKU-1011,Bracket-Ultra-597,Pharmaceuticals,Z-C,944,459,1581,1252.84,738.16,2026-04-17,9.9,Tata Supply Co.,True,250.0,2026-10-05,14.65,,,Partial Return,0.46
SKU-1012,Seal-Ultra-200,Electronics,Z-G,574,319,1591,998.37,613.51,2026-05-05,21.4,Bharti Supply Chain,False,,,5.85,,,Returnable,2.33
SKU-1013,Transformer-Pro-151,Electronics,Z-B,734,525,1997,2453.92,1191.38,2026-01-21,0.3,Reliance Logistics,False,,,1.98,Better Competitor Product,2645.22,Non-Returnable,1.57
SKU-1014,Clamp-Ultra-902,Chemicals,Z-C,372,94,488,351.74,184.82,2026-05-10,29.4,HCL Packaging,True,301.0,2026-06-23,11.13,,,Returnable,0.53
SKU-1015,Module-Ultra-982,Pharmaceuticals,Z-G,249,100,345,2992.87,1938.64,2026-04-17,33.0,L&T Raw Materials,True,297.0,2026-10-24,4.82,,,Partial Return,1.71
