order_id,customer_name,sku_id,order_quantity,order_date,promised_dispatch_date,actual_dispatch_date,status,warehouse_zone,delay_days,priority,delay_reason,estimated_delivery_km,delivery_cost,route_id,vehicle_type
ORD-10000,Boat Lifestyle,SKU-1258,28,2026-05-06,2026-05-10,2026-05-10,Delivered,Z-C,0,High,,177,513.14,RT-10,Mini Truck
ORD-10001,Lenskart,SKU-1204,72,2026-05-11,2026-05-15,,Pending,Z-C,0,High,Route Blocked,291,827.03,RT-07,LCV
ORD-10002,Boat Lifestyle,SKU-1100,148,2026-04-24,2026-04-29,2026-04-25,Delivered,Z-E,0,Medium,,170,646.18,RT-10,HCV
ORD-10003,Reliance Retail,SKU-1057,176,2026-04-30,2026-05-04,2026-05-02,Dispatched,Z-F,0,Medium,,309,986.35,RT-05,HCV
ORD-10004,Snapdeal,SKU-1179,162,2026-04-17,2026-04-21,,Pending,Z-H,22,High,Vehicle Breakdown,107,488.84,RT-03,HCV
ORD-10005,Reliance Retail,SKU-1057,194,2026-05-12,2026-05-14,,Cancelled,Z-C,0,Medium,,12,165.82,RT-02,HCV
ORD-10006,Urban Company,SKU-1230,125,2026-05-13,2026-05-16,2026-05-16,Delivered,Z-D,0,High,,284,890.82,RT-05,HCV
ORD-10007,Lenskart,SKU-1247,164,2026-04-20,2026-04-22,2026-04-28,Delayed,Z-A,6,Medium,Stock Unavailable,135,430.08,RT-05,HCV
ORD-10008,Myntra,SKU-1138,18,2026-04-29,2026-04-30,2026-04-30,Delivered,Z-F,0,High,,14,158.12,RT-11,Three Wheeler
ORD-10009,Nykaa,SKU-1194,135,2026-04-21,2026-04-22,,Cancelled,Z-H,0,Low,,277,764.51,RT-04,HCV
ORD-10010,FirstCry,SKU-1234,148,2026-04-14,2026-04-15,2026-04-15,Delivered,Z-F,0,Medium,,206,751.1,RT-01,HCV
ORD-10011,Blinkit,SKU-1180,95,2026-04-23,2026-04-26,2026-04-26,Delivered,Z-E,0,High,,325,926.92,RT-07,LCV
ORD-10012,Amazon India,SKU-1284,76,2026-05-06,2026-05-08,2026-05-10,Dispatched,Z-C,2,High,,378,1090.55,RT-11,LCV
ORD-10013,Mamaearth,SKU-1116,111,2026-05-06,2026-05-11,2026-05-09,Delivered,Z-F,0,Medium,,282,787.94,RT-11,HCV
ORD-10014,DMart,SKU-1297,143,2026-04-22,2026-04-24,,Cancelled,Z-E,0,Low,,366,1189.66,RT-03,HCV
ORD-10015,Tata Cliq,SKU-1074,172,2026-04-14,2026-04-19,,Cancelled,Z-F,0,High,,290,908.24,RT-12,HCV
ORD-10016,BigBasket,SKU-1094,86,2026-04-17,2026-04-19,2026-04-26,Delayed,Z-F,7,High,Weather Disruption,231,813.9,RT-11,LCV
ORD-10017,Pharmeasy,SKU-1077,53,2026-05-10,2026-05-12,2026-05-12,Delivered,Z-D,0,Low,,123,415.23,RT-01,LCV
ORD-10018,Blinkit,SKU-1040,181,2026-04-19,2026-04-23,2026-04-23,Delivered,Z-F,0,High,,441,1249.37,RT-08,HCV
ORD-10019,DMart,SKU-1083,54,2026-05-06,2026-05-07,2026-05-07,Dispatched,Z-E,0,Medium,,118,530.59,RT-04,LCV
ORD-10020,Myntra,SKU-1033,50,2026-04-14,2026-04-18,,Cancelled,Z-H,0,Low,,171,694.19,RT-04,Three Wheeler
ORD-10021,JioMart,SKU-1021,160,2026-04-20,2026-04-24,2026-04-28,Delayed,Z-A,4,High,Route Blocked,238,851.75,RT-01,HCV
ORD-10022,Nykaa,SKU-1265,142,2026-05-01,2026-05-02,,Pending,Z-A,11,High,Weather Disruption,230,724.51,RT-05,HCV
ORD-10023,Urban Company,SKU-1236,47,2026-04-30,2026-05-03,,Pending,Z-A,10,Low,Picker Shortage,242,862.47,RT-08,Mini Truck
ORD-10024,FirstCry,SKU-1057,51,2026-04-19,2026-04-24,,Cancelled,Z-C,0,Medium,,216,670.87,RT-01,LCV
ORD-10025,Snapdeal,SKU-1232,156,2026-04-15,2026-04-17,,Cancelled,Z-B,0,Medium,,170,647.93,RT-12,HCV
ORD-10026,Snapdeal,SKU-1063,28,2026-05-10,2026-05-14,,Pending,Z-B,0,Low,Documentation Error,377,1190.27,RT-09,Mini Truck
ORD-10027,JioMart,SKU-1281,102,2026-05-12,2026-05-14,,Cancelled,Z-C,0,High,,449,1208.65,RT-12,HCV
ORD-10028,Flipkart,SKU-1214,83,2026-05-04,2026-05-08,2026-05-06,Delivered,Z-B,0,High,,496,1340.71,RT-10,LCV
ORD-10029,Pharmeasy,SKU-1006,122,2026-04-28,2026-05-02,,Pending,Z-A,11,Low,Route Blocked,126,419.22,RT-11,HCV
ORD-10030,Meesho,SKU-1232,109,2026-04-29,2026-04-30,,Pending,Z-A,13,High,Weather Disruption,322,1012.16,RT-04,HCV
ORD-10031,Flipkart,SKU-1094,42,2026-05-12,2026-05-15,2026-05-13,Delivered,Z-E,0,Medium,,476,1261.93,RT-02,Three Wheeler
ORD-10032,Snapdeal,SKU-1082,177,2026-05-04,2026-05-09,2026-05-15,Delayed,Z-C,6,Medium,Loading Bay Bottleneck,481,1261.46,RT-05,HCV
ORD-10033,Swiggy Instamart,SKU-1188,102,2026-04-17,2026-04-18,2026-04-25,Delayed,Z-B,7,High,Picker Shortage,67,391.15,RT-05,HCV
ORD-10034,Swiggy Instamart,SKU-1269,110,2026-04-27,2026-04-29,2026-05-04,Delayed,Z-A,5,Medium,Zone Congestion,252,861.02,RT-10,HCV
ORD-10035,Urban Company,SKU-1218,160,2026-04-16,2026-04-19,2026-04-19,Delivered,Z-F,0,High,,319,988.16,RT-09,HCV
ORD-10036,Meesho,SKU-1252,51,2026-04-15,2026-04-20,2026-04-18,Delivered,Z-D,0,High,,65,218.5,RT-11,LCV
ORD-10037,BigBasket,SKU-1106,162,2026-04-30,2026-05-04,2026-05-03,Delivered,Z-D,0,High,,332,930.3,RT-05,HCV
ORD-10038,Pharmeasy,SKU-1034,83,2026-05-04,2026-05-09,,Pending,Z-A,4,High,Loading Bay Bottleneck,179,596.51,RT-10,LCV
